City,SS2024(10000),SS2025(2500),2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score
Ahmedabad,9579.0,1300.0,8041.5,5720.87,5207.13,4137.0,3373.0,1657.0,1452.0
Bengaluru,6247.0,0.0,5520.1,2892.98,2656.82,0.0,0.0,968.0,1182.0
Chennai,6327.0,0.0,4313.8,2866.14,2010.93,3118.0,2586.0,916.0,1194.0
Coimbatore,7587.0,0.0,4496.6,2899.11,2337.12,3412.0,3292.0,1650.0,1361.0
Delhi,7080.0,500.0,8728.3,6550.04,5193.27,4191.0,3597.0,1708.0,1704.0
Ghaziabad,9254.0,1100.0,7222.5,5387.67,4283.26,3877.0,2993.0,672.0,820.0
Hyderabad,9350.0,1300.0,8601.3,5612.68,4047.01,3455.0,3092.0,1605.0,1355.0
Indore,,,9348.39,7146.41,5647.56,4659.0,3707.0,1808.0,1276.0
Jaipur,8925.0,800.0,4685.5,4230.96,0.0,0.0,0.0,0.0,0.0
Kanpur,8802.0,1100.0,6409.6,4165.43,3783.88,3113.0,2771.0,1053.0,1090.0
Kochi,7236.0,,0.0,2071.51,0.0,0.0,0.0,856.0,990.0
Kolkata,,,,,,,,,
Kozhikode,6716.0,,0.0,1771.87,0.0,0.0,0.0,887.0,1107.0
Lucknow,9501.0,1300.0,7009.0,5209.69,4728.28,0.0,0.0,860.0,1237.0
Mumbai,6894.0,0.0,9240.3,6852.91,5467.89,4129.0,3536.0,1705.0,1530.0
Nagpur,8263.0,0.0,6163.8,4171.92,4345.06,3160.0,2835.0,1158.0,1348.0
Patna,8659.0,800.0,6320.9,3337.28,1552.11,0.0,0.0,880.0,746.0
Pune,9393.0,1100.0,8595.2,5708.42,4477.31,3446.0,3471.0,1660.0,1533.0
Surat,,,9348.39,6924.84,5519.59,3861.0,3318.0,1762.0,1605.0
